hub,site,date,observerEnc,encounterType,speciesEnc,bandNumber,colorCombo,age,sex,breedingCond,fat,mass,wing,tl,tarsus,featherID,attachmentID,rsLong,rsLat,notesEnc
Springfield,LEWASUSMA1,1/23/2012,NA,Resight-participant,NOCA,253191135boyhowdy\t ,"G/A,W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,LEWASUSMA1,2/25/2012,NA,Resight-participant,NOCA,253191135,"G/A,W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,LERMSUSMA1,5/15/2012,,Band,BCCH,2690-87701,"A,BU/BU",AHY,M,CP,NULL,11.75,65,62,16.8,NULL,,,, 
Springfield,LERMSUSMA1,5/15/2012,,Band,GRCA,2531-91104,"A/P,R",AHY,F,BP,NULL,40.2,96,97,28.22,NULL,,,, 
Springfield,LERMSUSMA1,5/15/2012,,Band,GRCA,2531-91103,"BU,A/O",AHY,U,U,NULL,33.75,88,90,27.5,NULL,,,, 
Springfield,LERMSUSMA1,5/15/2012,,Band,GRCA,2531-91104,"R,A/P",AHY,F,BP,NULL,40.2,96,97,28.22,NULL,,,, 
Springfield,LERMSUSMA1,5/15/2012,,Band,NOCA,2531-91102,"G,A/W",AHY,M,CP,NULL,44.41,90,93,25.61,NULL,,,, 
Springfield,LERMSUSMA1,5/15/2012,,Band,NOCA,2531-91102,"G,W",AHY,M,CP,NULL,44.41,90,93,25.61,NULL,,,, 
Springfield,LERMSUSMA1,5/15/2012,,Band,NOCA,2531-91101,"R/R,A",AHY,F,BP,NULL,43.2,62,98,22.27,NULL,,,, 
Springfield,LERMSUSMA1,5/15/2012,,Band,SOSP,2571-83001,"A,Y/R",AHY,M,CP,NULL,22.31,76,62,22.3,NULL,,,, 
Springfield,LERMSUSMA1,5/15/2012,,Band,SOSP,2571-83002\t,"Y/A,BU",AHY,F,BP,NULL,21.5,63,61,21,NULL,,,, 
Springfield,VARLKARMA1,5/16/2012,,Band,GRCA,2531-91105,"A/G,G",ASY,F,BP,NULL,42.3,93,96,28.57,NULL,,,, 
Springfield,VARLKARMA1,5/16/2012,,Band,GRCA,2531-91107,"O/W,A",AHY,M,CP,NULL,35.9\t,88,85,25.55,NULL,,,, 
Springfield,VARLKARMA1,5/16/2012,,Band,GRCA,2531-91106,"Y/BK,A",ASY,M,CP,NULL,32.3,89,91,28.5,NULL,,,, 
Springfield,VARLKARMA1,5/16/2012,,Band,SOSP,2571-83003,"A/O,O",AHY,M,CP,NULL,21.6,65,60,21,NULL,,,, 
Springfield,MORRDONMA1,5/17/2012,,Band,GRCA,2531-91108,"BU,O/A",AHY,M,CP,NULL,35.2,87,90,26.76,NULL,,,, 
Springfield,MORRDONMA1,5/17/2012,,Band,HOWR,2690-87702,"A/W,W",AHY,M,CP,NULL,8.8,46,28,18.19,NULL,,,, 
Springfield,SHEPLYNMA1,5/21/2012,,Band,BCCH,2690-87703,"R,A/BU",AHY,M,CP,NULL,11.6,67,64,16.85,NULL,,,, 
Springfield,VEARRICMA1,5/24/2012,,Band,SOSP,2571-83004,"A/W,W",AHY,M,CP,NULL,18.25,65,63,20.5,NULL,,,, 
Springfield,ROSNEDWMA1,5/25/2012,,Band,BCCH,2690-87914\t,"W,W/A",AHY,M,CP,NULL,12.8,66,60,17.69,NULL,,,, 
Springfield,SLONSUSMA1,5/28/2012,,Band,NOCA,2531-91109,"A/W,W",AHY,M,CP,NULL,46,107,102,24,NULL,,,, 
Springfield,PRANSABMA1,5/29/2012,,Band,BCCH,2690-87817,"W,A/O",AHY,M,CP,NULL,NULL,NULL,NULL,NULL,NULL,,,, 
Springfield,PRANSABMA1,5/29/2012,,Band,GRCA,2531-91110,"BU,Y/A",AHY\t,M,CP,NULL,35.6,91,88,26.2,NULL,,,, 
Springfield,PRANSABMA1,5/29/2012,,Band,GRCA,2531-91112,"W,A/G",AHY,M,CP,NULL,34,90,92,27.3,NULL,,,, 
Springfield,PIEPSUSMA1,5/30/2012,,Band,AMRO,1212-36665,"W,A/BU",AHY,M,CP,NULL,81.2,129,99,33.5,NULL,,,, 
Springfield,PIEPSUSMA1,5/30/2012,,Band,GRCA,2531-91113,"O,A/R",AHY,M,CP,NULL,35.3,86,87,26.8,NULL,,,, 
Springfield,PIEPSUSMA1,5/30/2012,,Band,HOWR,2690-87915,"W/G,A",AHY,M,CP,NULL,10,48,41,16.6,NULL,,,, 
Springfield,CLARBRYMA1,5/31/2012,,Band,AMRO,1212-36666,"W/G,A",AHY,M,CP,NULL,70.7,132,92,32,NULL,,,, 
Springfield,CLARBRYMA1,5/31/2012,,Band,BCCH,2690-87917,"A,BU/G",AHY,M,CP,NULL,11.9,67,63,16.9,NULL,,,, 
Springfield,CLARBRYMA1,5/31/2012,,Band,SOSP,2571-83006,"W,A/Y",AHY,M,CP,NULL,20.5,63,65,21.1,NULL,,,, 
Springfield,LANGPETMA1,6/1/2012,,Band,BCCH,2690-87918,"O,A/R",AHY,M,CP,NULL,10.6,68,65,17.71,NULL,,,, 
Springfield,FORTJOAMA1,6/5/2012,,Band,GRCA,2531-91114,"A,O/G",AHY,F,BP,NULL,37.5,85,90,28.1,NULL,,,, 
Springfield,CONZBRIMA1,6/5/2012,,Band,GRCA,1891-11009,"O/BK,A",AHY,M,CP,NULL,39.4,91,100,28.5,NULL,,,, 
Springfield,CALLEVEMA1,6/7/2012,,Band,BCCH,2690-87818helloworld,"R/G,A",AHY,F,BP,NULL,12,61,56,16.5,NULL,,,, 
Springfield,KINGGEOMA1,6/7/2012,,Band,GRCA,2531-91116,"A/O,Y",AHY,F,BP,NULL,38.5,89,90,28.4,NULL,,,, 
Springfield,KINGGEOMA1,6/7/2012,,Band,GRCA,2531-91115,"G/A,W",AHY,M,CP,NULL,34.1,98,99,27.7,NULL,,,, 
Springfield,KINGGEOMA1,6/7/2012,,Band,NOCA,2531-91117,"A,O/Y",AHY,F,BP,NULL,42.5,92,98,24.3,NULL,,,, 
Springfield,KAPLRACMA1,6/10/2012,,Band,AMRO,1212-36635,"R/G,A",AHY,F,BP,NULL,79.3,125,86,32.5,NULL,,,, 
