siteID,date.Of.Encounter,ENCOUNTER.TYPE,bandNumber,age,sex,breedingCond,fat,mass,wing,tl,tarsus
LERMSUSMA1,5/15/2012,Band,2690-87701,AHY,M,CP,NULL,11.75,65,62,16.8
LERMSUSMA1,5/15/2012,Band,2531-91104,AHY,F,BP,NULL,40.2,96,97,28.22
LERMSUSMA1,5/15/2012,Band,2531-91103,AHY,U,U,NULL,33.75,88,90,27.5
LERMSUSMA1,5/15/2012,Band,2531-91102,AHY,M,CP,NULL,44.41,90,93,25.61
LERMSUSMA1,5/15/2012,Band,2531-91101,AHY,F,BP,NULL,43.2,62,98,22.27
LERMSUSMA1,5/15/2012,Band,2571-83001,AHY,M,CP,NULL,22.31,76,62,22.3
LERMSUSMA1,5/15/2012,Band,2571-83002	,AHY,F,BP,NULL,21.5,63,61,21
VARLKARMA1,5/16/2012,Band,2531-91105,ASY,F,BP,NULL,42.3,93,96,28.57
VARLKARMA1,5/16/2012,Band,2531-91107,AHY,M,CP,NULL,35.9	,88,85,25.55
VARLKARMA1,5/16/2012,Band,2531-91106,ASY,M,CP,NULL,32.3,89,91,28.5
VARLKARMA1,5/16/2012,Band,2571-83003,AHY,M,CP,NULL,21.6,65,60,21
MORRDONMA1,5/17/2012,Band,2531-91108,AHY,M,CP,NULL,35.2,87,90,26.76
MORRDONMA1,5/17/2012,Band,2690-87702,AHY,M,CP,NULL,8.8,46,28,18.19
SHEPLYNMA1,5/21/2012,Band,2690-87703,AHY,M,CP,NULL,11.6,67,64,16.85
VEARRICMA1,5/24/2012,Band,2571-83004,AHY,M,CP,NULL,18.25,65,63,20.5
ROSNEDWMA1,5/25/2012,Band,2690-87914	,AHY,M,CP,NULL,12.8,66,60,17.69
SLONSUSMA1,5/28/2012,Band,2531-91109,AHY,M,CP,NULL,46,107,102,24
PRANSABMA1,5/29/2012,Band,2690-87817,AHY,M,CP,NULL,NULL,NULL,NULL,NULL
PRANSABMA1,5/29/2012,Band,2531-91110,AHY	,M,CP,NULL,35.6,91,88,26.2
PRANSABMA1,5/29/2012,Band,2531-91112,AHY,M,CP,NULL,34,90,92,27.3
PIEPSUSMA1,5/30/2012,Band,1212-36665,AHY,M,CP,NULL,81.2,129,99,33.5
PIEPSUSMA1,5/30/2012,Band,2531-91113,AHY,M,CP,NULL,35.3,86,87,26.8
PIEPSUSMA1,5/30/2012,Band,2690-87915,AHY,M,CP,NULL,10,48,41,16.6
CLARBRYMA1,5/31/2012,Band,1212-36666,AHY,M,CP,NULL,70.7,132,92,32
CLARBRYMA1,5/31/2012,Band,2690-87917,AHY,M,CP,NULL,11.9,67,63,16.9
