birdID,species,bandNumber,colorComboL,colorComboR
2710-54052,ACFL,2710-54052,X,-
2370-05551,AMGO,2370-05551,X,M
2370-05552,AMGO,2370-05552,X,B
2430-14739,AMGO,2430-14739,X,-
2430-14765,AMGO,2430-14765,X,-
2690-96103,AMGO,2690-96103,X,-
2690-96104,AMGO,2690-96104,X,-
2690-96105,AMGO,2690-96105,X,-
2690-96116,AMGO,2690-96116,X,-
2690-96117,AMGO,2690-96117,X,-
2690-96118,AMGO,2690-96118,X,-
2690-96119,AMGO,2690-96119,X,-
2690-96123,AMGO,2690-96123,X,-
2690-96125,AMGO,2690-96125,X,-
2690-96130,AMGO,2690-96130,X,-
2690-96131,AMGO,2690-96131,X,-
2690-96161,AMGO,2690-96161,X,-
2710-53602,AMGO,2710-53602,X,-
2710-53606,AMGO,2710-53606,X,-
2710-53616,AMGO,2710-53616,X,-
2710-53624,AMGO,2710-53624,X,-
2710-53631,AMGO,2710-53631,X,-
2710-53635,AMGO,2710-53635,X,-
2710-53637,AMGO,2710-53637,X,-
2710-53662,AMGO,2710-53662,X,-
2710-54030,AMGO,2710-54030,X,-
2710-54102,AMGO,2710-54102,X,-
2710-54103,AMGO,2710-54103,X,-
2710-54119,AMGO,2710-54119,X,-
2710-54120,AMGO,2710-54120,X,-
2710-54123,AMGO,2710-54123,X,-
2710-54124,AMGO,2710-54124,X,-
2710-54126,AMGO,2710-54126,X,-
2710-54127,AMGO,2710-54127,X,-
2710-54132,AMGO,2710-54132,X,-
2710-54134,AMGO,2710-54134,X,-
2710-54135,AMGO,2710-54135,X,-
2710-54161,AMGO,2710-54161,X,-
2710-54164,AMGO,2710-54164,X,-
2710-54165,AMGO,2710-54165,X,-
2710-54166,AMGO,2710-54166,X,-
2710-54170,AMGO,2710-54170,X,-
2710-54173,AMGO,2710-54173,X,-
2710-54174,AMGO,2710-54174,X,-
2710-54175,AMGO,2710-54175,X,-
2710-54178,AMGO,2710-54178,X,-
2710-54179,AMGO,2710-54179,-,X
2710-54181,AMGO,2710-54181,X,-
2710-54182,AMGO,2710-54182,X,-
2710-54190,AMGO,2710-54190,X,-
2710-54193,AMGO,2710-54193,X,-
2710-54197,AMGO,2710-54197,X,-
2710-54200,AMGO,2710-54200,X,-
2710-85232,AMGO,2710-85232,X,-
2730-26340,AMGO,2730-26340,X,-
2750-44562,AMGO,2750-44562,-,X
2710-54183,AMRE,2710-54183,X,-
2710-54184,AMRE,2710-54184,X,-
1152-47180,AMRO,1152-47180,RO,X
1152-87401,AMRO,1152-87401,R,OX
1152-87402,AMRO,1152-87402,WK,X
1152-87403,AMRO,1152-87403,Y,BX
1152-87404,AMRO,1152-87404,RX,W
1152-87405,AMRO,1152-87405,X,KR
1152-87406,AMRO,1152-87406,XR,O
1152-87407,AMRO,1152-87407,WX,B
1152-87408,AMRO,1152-87408,M,XW
1152-87409,AMRO,1152-87409,X,UNK
1152-87410,AMRO,1152-87410,B,XG
1152-87412,AMRO,1152-87412,OX,M
1152-87413,AMRO,1152-87413,K,GX
1152-87414,AMRO,1152-87414,X,WW
1152-87415,AMRO,1152-87415,XB,M
1152-87416,AMRO,1152-87416,X,MG
1152-87417,AMRO,1152-87417,K,YX
1152-87418,AMRO,1152-87418,WO,X
1152-87419,AMRO,1152-87419,MX,Y
1152-87420,AMRO,1152-87420,OX,Y
1152-87423,AMRO,1152-87423,XM,K
1152-87424,AMRO,1152-87424,Y,XO
