birdID,visitID,timeEnc,observerCapture,typeCapture,bandNumber,colorComboL,colorComboR,age,sex,dispositionCode
1920-85878,HAMIMARMD1_2000-04-28,NA,NA,B,1920-85878,W,XM,AHY,M,1
1920-85877,HAMIMARMD1_2000-04-28,NA,NA,B,1920-85877,X,YG,U,F,1
1920-85881,PERRCHRMD1_2000-04-28,NA,NA,B,1920-85881,KX,G,U,M,1
1920-85880,PERRCHRMD1_2000-04-28,NA,NA,B,1920-85880,YX,Y,U,F,1
1920-85879,PERRCHRMD1_2000-04-28,NA,NA,B,1920-85879,GR,X,U,M,1
791-17732,PERRCHRMD1_2000-04-28,NA,NA,B,791-17732,-,UNK,AHY,M,1
1141-05702,PERRCHRMD1_2000-04-28,NA,NA,B,1141-05702,BX,G,ASY,M,1
1141-05705,LUCIDANMD1_2000-04-30,NA,NA,B,1141-05705,X,WK,AHY,M,1
1920-85882,LUCIDANMD1_2000-04-30,NA,NA,B,1920-85882,XG,M,AHY,M,1
1920-85884,SULLPAUVA1_2000-05-08,NA,NA,B,1920-85884,OG,X,U,M,1
1920-85883,SULLPAUVA1_2000-05-08,NA,NA,B,1920-85883,X,RB,U,M,1
1920-85887,COLALISMD1_2000-05-12,NA,NA,B,1920-85887,XR,B,U,M,1
1920-85885,MCKEJANMD1_2000-05-12,NA,NA,B,1920-85885,X,BW,AHY,M,1
1141-05706,MCKEJANMD1_2000-05-12,NA,NA,B,1141-05706,MX,B,U,M,1
1920-85886,MCKEJANMD1_2000-05-12,NA,NA,B,1920-85886,OX,K,AHY,M,1
791-17736,EDEREDWVA1_2000-05-18,NA,NA,B,791-17736,X,YG,U,M,1
1920-85897,EDEREDWVA1_2000-05-18,NA,NA,B,1920-85897,XB,W,U,M,1
1920-85898,EDEREDWVA1_2000-05-18,NA,NA,B,1920-85898,YX,G,U,M,1
1920-85899,EDEREDWVA1_2000-05-18,NA,NA,B,1920-85899,MK,X,U,F,1
1920-85896,EDEREDWVA1_2000-05-18,NA,NA,B,1920-85896,B,XB,U,M,1
1920-85900,SULLPAUVA1_2000-05-18,NA,NA,B,1920-85900,G,XY,U,M,1
791-17737,MASIADRMD1_2000-05-23,NA,NA,B,791-17737,X,OO,U,M,1
742-29701,WALTBONMD1_2000-05-25,NA,NA,B,742-29701,X,G,U,F,1
742-29702,MCLERICMD1_2000-05-26,NA,NA,B,742-29702,O,MX,U,F,1
1920-85901,DANIBARMD1_2000-06-01,NA,NA,B,1920-85901,X,GK,U,F,1
1920-85902,TATEJUAMD1_2000-06-01,NA,NA,B,1920-85902,RX,G,U,F,1
1141-05711,TATEJUAMD1_2000-06-01,NA,NA,B,1141-05711,BM,X,U,F,1
719-17740,TATEJUAMD1_2000-06-01,NA,NA,B,719-17740,GX,M,U,M,1
791-17738,TATEJUAMD1_2000-06-01,NA,NA,B,791-17738,X,YO,U,M,1
791-17739,TATEJUAMD1_2000-06-01,NA,NA,B,791-17739,RX,K,U,F,1
1920-85905,BARBJERMD1_2000-06-02,NA,NA,B,1920-85905,K,WX,U,F,1
1920-85907,BARBJERMD1_2000-06-02,NA,NA,B,1920-85907,XR,K,U,F,1
791-17743,MOSMCARMD1_2000-06-02,NA,NA,B,791-17743,OX,B,AHY,M,1
791-17741,OBRICHRMD1_2000-06-02,NA,NA,B,791-17741,GR,X,U,M,1
791-17742,OBRICHRMD1_2000-06-02,NA,NA,B,791-17742,W,XM,U,F,1
1920-85904,RAUNERIMD1_2000-06-02,NA,NA,B,1920-85904,RX,K,U,M,1
1920-85903,RAUNERIMD1_2000-06-02,NA,NA,B,1920-85903,X,YO,U,F,1
1920-85906,BARBJERMD1_2000-06-03,NA,NA,B,1920-85906,BX,O,AHY,M,1
1141-05712,MOSMCARMD1_2000-06-03,NA,NA,B,1141-05712,BX,B,AHY,M,1
1141-05713,MOSMCARMD1_2000-06-03,NA,NA,B,1141-05713,Y,OX,AHY,M,1
791-17744,MOSMCARMD1_2000-06-03,NA,NA,B,791-17744,WX,G,AHY,F,1
1141-05714,MOSMCARMD1_2000-06-03,NA,NA,B,1141-05714,RX,M,AHY,F,1
1920-85909,RAYTIMMD1_2000-06-07,NA,NA,B,1920-85909,X,GB,U,M,1
1920-85910,RAYTIMMD1_2000-06-07,NA,NA,B,1920-85910,O,XB,U,F,1
791-17802,REITBOBMD1_2000-06-07,NA,NA,B,791-17802,YX,Y,U,F,1
791-17802,REITBOBMD1_2000-06-07,NA,NA,B,791-17802,YX,Y,U,F,1
1920-85911,TUFTKATMD1_2000-06-07,NA,NA,B,1920-85911,GX,M,U,M,1
1920-85912,TUFTKATMD1_2000-06-07,NA,NA,B,1920-85912,Y,OX,U,F,1
791-17801,TUFTKATMD1_2000-06-07,NA,NA,B,791-17801,G,XY,U,F,1
791-17803,JONECBRMD1_2000-06-09,NA,NA,B,791-17803,Y,OX,U,M,1
1920-85914,JONECBRMD1_2000-06-09,NA,NA,B,1920-85914,MG,X,U,M,1
1920-85913,JONECBRMD1_2000-06-09,NA,NA,B,1920-85913,WX,O,U,F,1
1920-85915,JONECBRMD1_2000-06-09,NA,NA,B,1920-85915,X,BB,U,F,1
791-17804,JONECBRMD1_2000-06-09,NA,NA,B,791-17804,RX,M,U,M,1
1141-05715,MILLPAUMD1_2000-06-09,NA,NA,B,1141-05715,XY,B,U,M,1
791-17805,MILLPAUMD1_2000-06-09,NA,NA,B,791-17805,OX,G,U,M,1
1141-05717,MILLPAUMD1_2000-06-09,NA,NA,B,1141-05717,OX,R,U,F,1
791-17307,HADDMARMD1_2000-06-11,NA,NA,B,791-17307,KW,X,U,M,1
791-17308,HADDMARMD1_2000-06-11,NA,NA,B,791-17308,MX,Y,U,F,1
1141-05718,ROHRSALMD1_2000-06-13,NA,NA,B,1141-05718,W,RX,U,F,1
791-17807,ROHRSALMD1_2000-06-13,NA,NA,B,791-17807,OG,X,U,F,1
791-17806,ROHRSALMD1_2000-06-13,NA,NA,B,791-17806,Y,XB,U,M,1
1920-85916,ROHRSALMD1_2000-06-13,NA,NA,B,1920-85916,XB,W,U,F,1
791-17808,BRUEELIMD1_2000-06-14,NA,NA,B,791-17808,X,YY,U,M,1
791-17809,BRUEELIMD1_2000-06-14,NA,NA,B,791-17809,MW,X,U,M,1
1141-05727,BRUEELIMD1_2000-06-14,NA,NA,B,1141-05727,Y,YX,U,M,1
1141-05723,BRUEELIMD1_2000-06-14,NA,NA,B,1141-05723,X,OO,U,F,1
1141-05724,BRUEELIMD1_2000-06-14,NA,NA,B,1141-05724,X,YY,U,F,1
1920-85920,BRUEELIMD1_2000-06-14,NA,NA,B,1920-85920,X,YR,U,F,1
1141-05719,MANNJANDC1_2000-06-14,NA,NA,B,1141-05719,R,OX,U,F,1
1141-05721,MANNJANDC1_2000-06-14,NA,NA,B,1141-05721,Y,BX,U,F,1
1920-85917,MANNJANDC1_2000-06-14,NA,NA,B,1920-85917,WX,Y,U,F,1
1920-85919,MANNJANDC1_2000-06-14,NA,NA,B,1920-85919,XG,B,U,F,1
1141-05722,MANNJANDC1_2000-06-14,NA,NA,B,1141-05722,XO,R,U,M,1
1920-85918,MANNJANDC1_2000-06-14,NA,NA,B,1920-85918,MX,R,NA,NA,1
1141-05728,GOUGGREMD1_2000-06-15,NA,NA,B,1141-05728,YO,X,U,F,1
1141-05729,GOUGGREMD1_2000-06-15,NA,NA,B,1141-05729,M,XR,U,M,1
791-17746,GOUGGREMD1_2000-06-15,NA,NA,B,791-17746,XG,Y,U,M,1
791-17747,GOUGGREMD1_2000-06-15,NA,NA,B,791-17747,KX,B,U,M,1
791-17745,GOUGGREMD1_2000-06-15,NA,NA,B,791-17745,XB,O,U,F,1
1920-85921,GOUGGREMD1_2000-06-15,NA,NA,B,1920-85921,X,MM,U,F,1
1920-85923,MAHOJIMMD1_2000-06-16,NA,NA,B,1920-85923,W,XO,HY,M,1
1141-05731,MAHOJIMMD1_2000-06-16,NA,NA,B,1141-05731,W,XO,U,M,1
791-17749,MAHOJIMMD1_2000-06-16,NA,NA,B,791-17749,M,WX,U,M,1
791-17748,MAHOJIMMD1_2000-06-16,NA,NA,B,791-17748,UNK,UNK,NA,NA,1
1141-05730,MAHOJIMMD1_2000-06-16,NA,NA,B,1141-05730,RX,Y,U,F,1
1141-05732,MAHOJIMMD1_2000-06-16,NA,NA,B,1141-05732,X,BM,U,F,1
1920-85924,MAHOJIMMD1_2000-06-16,NA,NA,B,1920-85924,X,BM,U,M,1
1920-85926,MAHOJIMMD1_2000-06-16,NA,NA,B,1920-85926,WX,R,U,F,1
1920-85922,MAHOJIMMD1_2000-06-16,NA,NA,B,1920-85922,RX,Y,AHY,F,1
1920-85933,HUTCBARVA1_2000-06-17,NA,NA,B,1920-85933,KM,X,U,M,1
1920-85928,HUTCBARVA1_2000-06-17,NA,NA,B,1920-85928,G,XO,NA,NA,1
1920-85929,HUTCBARVA1_2000-06-17,NA,NA,B,1920-85929,R,XB,U,F,1
1141-05733,HUTCBARVA1_2000-06-17,NA,NA,B,1141-05733,YR,X,U,F,1
1141-05735,HUTCBARVA1_2000-06-17,NA,NA,B,1141-05735,WX,G,U,F,1
1141-05736,HUTCBARVA1_2000-06-17,NA,NA,B,1141-05736,RX,K,U,F,1
1141-05739,HUTCBARVA1_2000-06-17,NA,NA,B,1141-05739,XY,Y,U,F,1
1141-05737,HUTCBARVA1_2000-06-17,NA,NA,B,1141-05737,Y,MX,HY,U,1
1920-85927,HUTCBARVA1_2000-06-17,NA,NA,B,1920-85927,YR,X,U,M,1
1141-05738,HUTCBARVA1_2000-06-17,NA,NA,B,1141-05738,Y,RX,U,M,1
1141-05720,HUTCBARVA1_2000-06-17,NA,NA,B,1141-05720,XB,O,U,F,1
1920-85930,HUTCBARVA1_2000-06-17,NA,NA,B,1920-85930,X,GO,U,F,1
1920-85932,HUTCBARVA1_2000-06-17,NA,NA,B,1920-85932,X,MW,U,F,1
1141-05734,HUTCBARVA1_2000-06-17,NA,NA,B,1141-05734,M,WX,U,F,1
791-17811,BLOCDAVMD1_2000-06-21,NA,NA,B,791-17811,WX,Y,U,M,1
1141-05740,ODELVINMD1_2000-06-21,NA,NA,B,1141-05740,X,BY,U,M,1
1920-85936,ODELVINMD1_2000-06-21,NA,NA,B,1920-85936,G,XR,U,M,1
791-17812,ODELVINMD1_2000-06-21,NA,NA,B,791-17812,X,MM,U,M,1
1141-05742,ODELVINMD1_2000-06-21,NA,NA,B,1141-05742,O,X,NA,NA,1
1920-85939,ODELVINMD1_2000-06-21,NA,NA,B,1920-85939,G,XW,U,M,1
1920-85937,ODELVINMD1_2000-06-21,NA,NA,B,1920-85937,XB,O,U,M,1
1920-85935,ODELVINMD1_2000-06-21,NA,NA,B,1920-85935,X,OR,U,F,1
791-17810,ODELVINMD1_2000-06-21,NA,NA,B,791-17810,X,OR,U,F,1
1141-05741,ODELVINMD1_2000-06-21,NA,NA,B,1141-05741,Y,XR,U,F,1
1920-85938,ODELVINMD1_2000-06-21,NA,NA,B,1920-85938,X,YM,U,F,1
1920-85934,ODELVINMD1_2000-06-21,NA,NA,B,1920-85934,X,YY,U,M,1
791-17813,ODELVINMD1_2000-06-21,NA,NA,B,791-17813,G,XO,U,M,1
791-17814,GOCHJOAMD1_2000-06-23,NA,NA,B,791-17814,M,XB,U,M,1
791-17815,CALLJERMD1_2000-06-29,NA,NA,B,791-17815,WX,O,U,M,1
791-17816,CALLJERMD1_2000-06-29,NA,NA,B,791-17816,X,BY,U,M,1
