site,date,observerEnc,encounterType,bandNumber,rsLong,rsLat
LEWASUSMA1,1/23/2012,NA,Resight-participant,253191135boyhowdy	,NA,NA
LEWASUSMA1,2/25/2012,NA,Resight-participant,253191135,NA,NA
WHELGWEMA1,6/23/2012,NA,Resight-participant,269087823,-72.43289,42.3801
DELUBILMA1,7/1/2012,NA,Resight-participant,269087819,NA,NA
DELUBILMA1,7/2/2012,NA,Resight-participant,269087820,NA,NA
LEWASUSMA1,8/2/2012,NA,Resight-participant,253191136,NA,NA
LEWASUSMA1,8/4/2012,NA,Resight-participant,253191135,NA,NA
WILSMARMA1,8/4/2012,NA,Resight-participant,269087944,NA,NA
LEWASUSMA1,10/11/2012,NA,Resight-participant,253191136,NA,NA
DELUBILMA1,10/15/2012,NA,Resight-participant,189111011,NA,NA
BENNBILMA1,12/22/2012,NA,Resight-participant,189111021,NA,NA
LEWASUSMA1,12/26/2012,NA,Resight-participant,253191135,NA,NA
LERMSUSMA1,12/27/2012,NA,Resight-participant,253191101,NA,NA
LERMSUSMA1,12/27/2012,NA,Resight-participant,253191102,NA,NA
LERMSUSMA1,12/27/2012,NA,Resight-participant,269087701,NA,NA
DELUBILMA1,1/3/2013,NA,Resight-participant,189111011,NA,NA
DELUBILMA1,1/3/2013,NA,Resight-participant,253191185,NA,NA
MERIMARMA1,1/5/2013,NA,Resight-participant,269087794,NA,NA
BENNBILMA1,1/13/2013,NA,Resight-participant,269087833,NA,NA
BENNBILMA1,1/17/2013,NA,Resight-participant,189111021,NA,NA
CLAYBRYMA1,1/20/2013,NA,Resight-participant,256186618,NA,NA
KANEBRIMA1,1/25/2013,NA,Resight-participant,273027544,NA,NA
CLAYBRYMA1,1/28/2013,NA,Resight-participant,256186618,NA,NA
BENNBILMA1,1/31/2013,NA,Resight-participant,269087719,NA,NA
BENNBILMA1,2/13/2013,NA,Resight-participant,189111021,NA,NA
LEWASUSMA1,2/21/2013,NA,Resight-participant,256186608,NA,NA
CHARANDMA1,3/1/2013,NA,Resight-participant,189111034,NA,NA
LANGPETMA1,3/10/2013,NA,Resight-participant,269087918,NA,NA
LEWASUSMA1,3/14/2013,NA,Resight-participant,256186608,NA,NA
BENNBILMA1,3/17/2013,NA,Resight-participant,189111021,NA,NA
BENNBILMA1,3/23/2013,NA,Resight-participant,269087833,NA,NA
SLONJOHMA1,3/31/2013,NA,Resight-participant,269087941,NA,NA
DELUBILMA1,4/8/2013,NA,Resight-participant,189111011,NA,NA
BENNBILMA1,4/27/2013,NA,Resight-participant,189111021,NA,NA
SLONJOHMA1,5/9/2013,NA,Resight-participant,269087939,NA,NA
BENNBILMA1,5/14/2013,NA,Resight-participant,189111021,NA,NA
BENNBILMA1,5/16/2013,NA,Resight-participant,269087833,NA,NA
DELUBILMA1,5/17/2013,NA,Resight-participant,121236641,-72.585506,42.237834
ATHEJIMMA2,5/18/2013,NA,Resight-participant,265143211,NA,NA
DELUBILMA1,5/22/2013,NA,Resight-participant,189111011,NA,NA
