siteID,projectID,region,siteType,siteStatus
AINSKYLGA1,nn,Atlanta,R,R-O
ALCOKENGA1,nn,Atlanta,R,A
ALLERILGA1,nn,Atlanta,R,A
ANDEREBGA1,nn,Atlanta,R,R-O
ARABMOUGA1,nn,Atlanta,R,R-O
ARGYLESGA1,nn,Atlanta,R,A
ASTOLAUGA1,nn,Atlanta,R,A
BAKEBONGA1,nn,Atlanta,R,R-O
BEARJUSGA1,nn,Atlanta,R,A
BELMNIKGA1,nn,Atlanta,R,A
BINKJAMGA1,nn,Atlanta,R,A
BONNPATGA1,nn,Atlanta,R,R-O
BRADVALGA1,nn,Atlanta,R,A
BRAXBOBGA1,nn,Atlanta,R,A
BURNEESGA1,nn,Atlanta,R,R-O
CARTJOYGA1,nn,Atlanta,R,A
CASSKATGA1,nn,Atlanta,R,R-O
CHALMICGA1,nn,Atlanta,R,A
CHAMPAUGA1,nn,Atlanta,R,A
CHANSYLGA1,nn,Atlanta,R,A
CLAYRUSGA1,nn,Atlanta,R,R-O
COOKGLOGA1,nn,Atlanta,R,A
COOPEMSGA1,nn,Atlanta,R,A
CZEBANGGA1,nn,Atlanta,R,R-O
DAVICARGA1,nn,Atlanta,R,A
DAVIJENGA1,nn,Atlanta,R,R-O
DECKJASGA1,nn,Atlanta,R,R-O
DECKJASGA2,nn,Atlanta,R,A
DESIELAGA1,nn,Atlanta,R,A
DICKEMMGA1,nn,Atlanta,R,R-O
DIMMDIAGA1,nn,Atlanta,R,R-O
DISALINGA1,nn,Atlanta,R,A
DUKTJOHGA1,nn,Atlanta,R,R-O
DULUADVGA1,nn,Atlanta,R,A
EDWALINGA1,nn,Atlanta,R,A
ENDRCINGA1,nn,Atlanta,R,R-O
FALKSTEGA1,nn,Atlanta,R,R-O
FEDRMARGA1,nn,Atlanta,R,R-O
FERNBANGA1,nn,Atlanta,R,R-O
FLOWANGGA1,nn,Atlanta,R,A
FLOWPATGA1,nn,Atlanta,R,A
FURRMELGA1,nn,Atlanta,R,A
FUTCROBGA1,nn,Atlanta,R,R-O
GHILCOLGA1,nn,Atlanta,R,A
GITHFRAGA1,nn,Atlanta,R,R-O
GORDMARGA1,nn,Atlanta,R,A
GREERITGA1,nn,Atlanta,R,R-O
HAMINANGA1,nn,Atlanta,R,R-O
HARRMARGA1,nn,Atlanta,R,A
HARTDELGA1,nn,Atlanta,R,R-O
HAWKDIAGA1,nn,Atlanta,R,A
HEADDOTGA1,nn,Atlanta,R,A
HERBMIRGA1,nn,Atlanta,R,A
HEROBLUGA1,nn,Atlanta,R,A
HITTJODGA1,nn,Atlanta,R,A
HOGAMELGA1,nn,Atlanta,R,A
HOPKMARGA1,nn,Atlanta,R,A
HORNMARGA1,nn,Atlanta,R,R-O
HOUSJONGA1,nn,Atlanta,R,A
HOYTHARGA1,nn,Atlanta,R,A
JENKANGGA1,nn,Atlanta,R,R-O
JENKANGGA2,nn,Atlanta,R,A
JETTMELGA1,nn,Atlanta,R,R-O
JOHNSCOGA1,nn,Atlanta,R,A
JONEFAIGA1,nn,Atlanta,R,A
KILGJACGA1,nn,Atlanta,R,A
KIMBMARGA1,nn,Atlanta,R,A
KIPPVISGA1,nn,Atlanta,R,R-O
