visitID,siteID,plotID,projectID,dateVisit,observerVisit,participantEngagement,encounteredBirds,netHours,notesVisit
HUNTDAVMD1_2000-04-23,HUNTDAVMD1,NA,nn,2000-04-23,NA,NA,NA,NA,NA
HAMIMARMD1_2000-04-28,HAMIMARMD1,NA,nn,2000-04-28,NA,NA,NA,NA,NA
PERRCHRMD1_2000-04-28,PERRCHRMD1,NA,nn,2000-04-28,NA,NA,NA,NA,NA
LUCIDANMD1_2000-04-30,LUCIDANMD1,NA,nn,2000-04-30,NA,NA,NA,NA,NA
SULLPAUVA1_2000-05-08,SULLPAUVA1,NA,nn,2000-05-08,NA,NA,NA,NA,NA
MCKEJANMD1_2000-05-12,MCKEJANMD1,NA,nn,2000-05-12,NA,NA,NA,NA,NA
COLALISMD1_2000-05-12,COLALISMD1,NA,nn,2000-05-12,NA,NA,NA,NA,NA
EDEREDWVA1_2000-05-18,EDEREDWVA1,NA,nn,2000-05-18,NA,NA,NA,NA,NA
SULLPAUVA1_2000-05-18,SULLPAUVA1,NA,nn,2000-05-18,NA,NA,NA,NA,NA
MASIADRMD1_2000-05-23,MASIADRMD1,NA,nn,2000-05-23,NA,NA,NA,NA,NA
WALTBONMD1_2000-05-25,WALTBONMD1,NA,nn,2000-05-25,NA,NA,NA,NA,NA
MCLERICMD1_2000-05-26,MCLERICMD1,NA,nn,2000-05-26,NA,NA,NA,NA,NA
DANIBARMD1_2000-06-01,DANIBARMD1,NA,nn,2000-06-01,NA,NA,NA,NA,NA
TATEJUAMD1_2000-06-01,TATEJUAMD1,NA,nn,2000-06-01,NA,NA,NA,NA,NA
RAUNERIMD1_2000-06-02,RAUNERIMD1,NA,nn,2000-06-02,NA,NA,NA,NA,NA
MOSMCARMD1_2000-06-02,MOSMCARMD1,NA,nn,2000-06-02,NA,NA,NA,NA,NA
OBRICHRMD1_2000-06-02,OBRICHRMD1,NA,nn,2000-06-02,NA,NA,NA,NA,NA
BARBJERMD1_2000-06-02,BARBJERMD1,NA,nn,2000-06-02,NA,NA,NA,NA,NA
MOSMCARMD1_2000-06-03,MOSMCARMD1,NA,nn,2000-06-03,NA,NA,NA,NA,NA
BARBJERMD1_2000-06-03,BARBJERMD1,NA,nn,2000-06-03,NA,NA,NA,NA,NA
RAYTIMMD1_2000-06-07,RAYTIMMD1,NA,nn,2000-06-07,NA,NA,NA,NA,NA
TUFTKATMD1_2000-06-07,TUFTKATMD1,NA,nn,2000-06-07,NA,NA,NA,NA,NA
REITBOBMD1_2000-06-07,REITBOBMD1,NA,nn,2000-06-07,NA,NA,NA,NA,NA
JONECBRMD1_2000-06-09,JONECBRMD1,NA,nn,2000-06-09,NA,NA,NA,NA,NA
MILLPAUMD1_2000-06-09,MILLPAUMD1,NA,nn,2000-06-09,NA,NA,NA,NA,NA
HADDMARMD1_2000-06-11,HADDMARMD1,NA,nn,2000-06-11,NA,NA,NA,NA,NA
ROHRSALMD1_2000-06-13,ROHRSALMD1,NA,nn,2000-06-13,NA,NA,NA,NA,NA
BRUEELIMD1_2000-06-14,BRUEELIMD1,NA,nn,2000-06-14,NA,NA,NA,NA,NA
MANNJANDC1_2000-06-14,MANNJANDC1,NA,nn,2000-06-14,NA,NA,NA,NA,NA
GOUGGREMD1_2000-06-15,GOUGGREMD1,NA,nn,2000-06-15,NA,NA,NA,NA,NA
MAHOJIMMD1_2000-06-16,MAHOJIMMD1,NA,nn,2000-06-16,NA,NA,NA,NA,NA
HUTCBARVA1_2000-06-17,HUTCBARVA1,NA,nn,2000-06-17,NA,NA,NA,NA,NA
ODELVINMD1_2000-06-21,ODELVINMD1,NA,nn,2000-06-21,NA,NA,NA,NA,NA
BLOCDAVMD1_2000-06-21,BLOCDAVMD1,NA,nn,2000-06-21,NA,NA,NA,NA,NA
GOCHJOAMD1_2000-06-23,GOCHJOAMD1,NA,nn,2000-06-23,NA,NA,NA,NA,NA
CALLJERMD1_2000-06-29,CALLJERMD1,NA,nn,2000-06-29,NA,NA,NA,NA,NA
SALOSHEMD1_2000-06-29,SALOSHEMD1,NA,nn,2000-06-29,NA,NA,NA,NA,NA
HEATSUEVA1_2000-06-30,HEATSUEVA1,NA,nn,2000-06-30,NA,NA,NA,NA,NA
